id,Governroate,District,Sub.District,Area,Place,PlaceID,sites.Religious.Buildings,sites.Unfinished.Buildings,sites.Open.Air,families.Religious.Buildings,families.Unfinished.Buildings,families.Open.Air,dtmfam.Religious.Buildings,dtmfam.Unfinished.Buildings,diff.Religious.Buildings,diff.Unfinished.Buildings
1,Dahuk,Amedi,(blank),Amedi,Amedi City Centre,7861,1,15,,63,70,,,,63,70
2,Dahuk,Amedi,Bamerni,Bamerni,Bamerni,8189,1,4,,16,48,,50,500,-34,-452
3,Dahuk,Amedi,Deralook,Deralook,Deralook,8229,3,3,,14,32,,111,140,-97,-108
4,Dahuk,Amedi,Sarsink,Inshke,Inshke,7860,3,96,,28,342,,,,28,342
5,Dahuk,Amedi,Kani Mase,Kani Mase,Kani Mase,8443,4,,,90,,,,,90,0
6,Dahuk,Amedi,Sarsink,Qadish,Qadish,7862,1,3,,3,17,,,,3,17
7,Dahuk,Amedi,Sarsink,Sarsink,Sarsink City Centre,7835,3,13,,109,241,,,,109,241
8,Dahuk,Amedi,Deralook,Sheladze,Sheladze,7833,,10,,,110,,,,0,110
9,Dahuk,Dahuk,City Centre,City Centre,Al-Sina'a,23580,,,,,,,60,100,-60,-100
10,Dahuk,Dahuk,City Centre,City Centre,Baroshke,7945,1,,,49,,,200,850,-151,-850
11,Dahuk,Dahuk,City Centre,City Centre,Bazar(main market),23710,1,,,14,,,50,125,-36,-125
12,Dahuk,Dahuk,City Centre,City Centre,Diyari,24185,4,6,,16,120,,0,210,16,-90
13,Dahuk,Dahuk,City Centre,City Centre,Etit,7948,1,6,,4,151,,,,4,151
14,Dahuk,Dahuk,City Centre,City Centre,Gali,23711,,1,,,23,,100,312,-100,-289
15,Dahuk,Dahuk,City Centre,City Centre,Gre Base,,,2,,,111,,,,0,111
16,Dahuk,Dahuk,City Centre,City Centre,Kevila,7984,,4,,,41,,,,0,41
17,Dahuk,Dahuk,City Centre,City Centre,Kochar(Khabat),,,,,,,,,,0,0
18,Dahuk,Dahuk,City Centre,City Centre,KRO,23906,,,,,,,50,250,-50,-250
19,Dahuk,Dahuk,Mangesh,Mangesh,Mangesh,7964,3,,,10,,,100,550,-90,-550
20,Dahuk,Dahuk,City Centre,City Centre,Masike,8288,3,13,,103,66,,,,103,66
21,Dahuk,Dahuk,City Centre,City Centre,Muhabad,,,,,,,,,,0,0
22,Dahuk,Dahuk,City Centre,City Centre,Na'or,23905,,,,,,,0,75,0,-75
23,Dahuk,Dahuk,City Centre,City Centre,Nizarke,7946,,12,1,,207,15,50,160,-50,47
24,Dahuk,Dahuk,City Centre,City Centre,Qasara,24188,,5,,,23,,50,240,-50,-217
25,Dahuk,Dahuk,City Centre,City Centre,Raza,23712,,3,,,22,,0,155,0,-133
26,Dahuk,Dahuk,City Centre,City Centre,Shindokha,8372,3,,,15,,,15,115,0,-115
27,Dahuk,Dahuk,Zawita,Zawita,Zawita,7921,1,8,1,35,276,128,40,610,-5,-334
28,Dahuk,Dahuk,City Centre,City Centre,Zirak,,2,4,,7,42,,,,7,42
29,Dahuk,Dahuk,City Centre,City Centre,Zozan,24187,,,,,,,0,60,0,-60
30,Dahuk,Sumel,Batel,Batel,Batel,8196,3,215,,28,1152,,528,400,-500,752
31,Dahuk,Sumel,Fayida,Domiz,Domiz,8761,,50,,,211,,,,0,211
32,Dahuk,Sumel,Fayida,Fayida,Fayida City Centre,8239,,31,,,142,,,,0,142
33,Dahuk,Sumel,Fayida,Khanke,Khanke,8554,,350,,,1606,,500,1200,-500,406
34,Dahuk,Sumel,Batel,Miserik,Mserik,8873,2,64,,21,294,,250,620,-229,-326
35,Dahuk,Sumel,Fayida,Sharia,Sharia,8369,,88,,,668,,394,722,-394,-54
36,Dahuk,Sumel,(blank),Sumel,Sumel City Centre,8336,4,68,,38,449,,100,780,-62,-331
37,Dahuk,Sumel,Fayida,Tanahi,Tanahi,24596,,20,,,100,,0,450,0,-350
38,Dahuk,Zakho,City Centre,City Centre,Abbassiya,8103,1,60,,50,256,,140,520,-90,-264
39,Dahuk,Zakho,Batifa,Batifa,Batifa,8849,2,127,,12,510,,281,650,-269,-140
40,Dahuk,Zakho,City Centre,City Centre,Bazar(main market),,,8,,,105,,,,0,105
41,Dahuk,Zakho,City Centre,City Centre,Bedar,8093,1,38,,90,1300,,0,500,90,800
42,Dahuk,Zakho,Darkar,Darkar,Darkar,8084,6,190,,170,690,,300,500,-130,190
43,Dahuk,Zakho,City Centre,City Centre,Firqa,21187,,100,,,421,,120,527,-120,-106
44,Dahuk,Zakho,City Centre,City Centre,Gundke,24132,,13,,,50,,50,450,-50,-400
45,Dahuk,Zakho,City Centre,City Centre,Khrababka,8110,,140,,,540,,0,100,0,440
46,Dahuk,Zakho,Rizgari,Rizgari,Rizgari,8711,1,180,,62,680,,100,300,-38,380
47,Dahuk,Zakho,City Centre,City Centre,Semalka,21186,,12,,,154,,,,0,154
48,Dahuk,Zakho,City Centre,City Centre,Shaabaniya,21970,,10,,,150,,65,430,-65,-280
49,Dahuk,Zakho,City Centre,City Centre,Tilkabar,8400,,14,,,242,,50,450,-50,-208
50,Diyala,Khanaqin,,,Ali Murad,,,18,,,48,,,,0,48
51,Diyala,Khanaqin,,,Ashty,,,22,,,67,,,,0,67
52,Diyala,Khanaqin,,,Askari,24354,,30,,,72,,0,12,0,60
53,Diyala,Khanaqin,,,Baharitaza,24352,,33,,,120,,0,0,0,120
54,Diyala,Khanaqin,,,Bakhtyari,11342,,114,,,269,,,,0,269
55,Diyala,Khanaqin,,,Banmil,,,52,,,154,,,,0,154
56,Diyala,Khanaqin,,,Darakutara,,,7,,,24,,,,0,24
57,Diyala,Khanaqin,,,Halmat,,,12,,,52,,,,0,52
58,Diyala,Khanaqin,,,Imam Abas,24312,,42,,,85,,0,0,0,85
59,Diyala,Khanaqin,,,Jabarawa,10666,,32,,,36,,,,0,36
60,Diyala,Khanaqin,,,Mala ziz,10924,,7,,,20,,,,0,20
61,Diyala,Khanaqin,,,Sailo,,,,5,,,35,,,0,0
62,Diyala,Khanaqin,,,Tafraqa,,,3,,,17,,,,0,17
63,Diyala,Khanaqin,,,Tolafrosh,11047,,32,,,70,,0,0,0,70
64,Erbil,Erbil,Ankawa,Ankawa,Ainkawa,12356,9,49,,1255,527,,,,1255,527
65,Erbil,Erbil,Ankawa,Ankawa,Ainkawa (108),20980,,1,,,148,,0,0,0,148
66,Erbil,Erbil,NA,Erbil city,Al Qala',24195,1,,,300,,,0,0,300,0
67,Erbil,Erbil,Daratu,Daratu,Daratu,11752,,40,,,220,,0,65,0,155
68,Erbil,Erbil,Kasnazan,Kasnazan,Kasnazan,24159,2,,,475,,,0,0,475,0
69,Erbil,Erbil,NA,Khabat,Safiya village,12821,,3,,,100,,,,0,100
70,Erbil,Erbil,NA,Erbil city,Sedawa,23911,1,,,150,,,0,0,150,0
71,Erbil,Erbil,NA,Terawa,Terawa,24159,2,,,300,,,,,300,0
72,Erbil,Koisnjaq,NA,Armota,Armota,24484,3,,,65,,,30,0,35,0
73,Erbil,Koisnjaq,NA,District center,Bayizagha,12371,,4,,,30,,0,0,0,30
74,Erbil,Koisnjaq,NA,Koysinjaq,Bazar koya,24597,2,3,,25,40,,25,0,0,40
75,Erbil,Koisnjaq,NA,Chnarok,Chnarok,11617,1,1,,60,20,,,,60,20
76,Erbil,Koisnjaq,NA,District center,Jamiyah,24599,3,,,210,,,210,0,0,0
77,Erbil,Koisnjaq,NA,District center,Qalat,23280,1,,,10,,,0,0,10,0
78,Erbil,Shaqlawa,NA,Shaqlawa,Balisan,13617,1,,,30,,,,,30,0
79,Erbil,Shaqlawa,NA,Shaqlawa,Betarma,23713,2,,,80,,,250,0,-170,0
80,Erbil,Soran,NA,Diana,Diana,24577,1,,,135,,,150,10,-15,-10
81,Ninewa,Akre,Akre,Akre,Akre City Centre,17734,3,111,,78,600,,0,750,78,-150
82,Ninewa,Akre,Bardarash,Bardarash,Bardarash City Centre,17145,3,60,,20,450,,,,20,450
83,Ninewa,Akre,Kalak,Basheryan,Basheryan,,1,1,,60,70,,,,60,70
84,Ninewa,Akre,Bijil,Bijil,Bijil,17776,,20,,,107,,25,150,-25,-43
85,Ninewa,Akre,Daratu,Daratu,Daratu,8776,1,42,,4,174,,50,200,-46,-26
86,Ninewa,Akre,Dinarta,Dinarta,Dinarta,16953,2,20,,54,75,,,,54,75
87,Ninewa,Akre,Kalak,Gawilan,Gawilan,17039,,3,,,26,,,,0,26
88,Ninewa,Akre,Grdaseen,Grdaseen,Grdaseen,17802,11,46,,170,180,,100,600,70,-420
89,Ninewa,Akre,Kalak,Kalak,Kalak,24581,,18,,,30,,50,400,-50,-370
90,Ninewa,Akre,Kalak,NA,Kalak,24581,,8,,,200,,,,0,200
91,Ninewa,Akre,Kalak,Kawrasur,Kawrasur,,,2,,,43,,,,0,43
92,Ninewa,Akre,Roviya,Roviya,Roviya,24580,2,12,,100,300,,100,580,0,-280
93,Ninewa,Al-Shikhan,Atrush,Atrush,Atrush,17338,3,66,,15,287,,50,100,-35,187
94,Ninewa,Al-Shikhan,Baadre,Baadre,Baadre,17752,3,11,,67,400,,200,400,-133,0
95,Ninewa,Al-Shikhan,Qasrook,Chira,Chira,21008,,42,,,175,,0,0,0,175
96,Ninewa,Al-Shikhan,Qasrook,Kalakchi,Kalakchi,18058,10,15,,96,200,,137,150,-41,50
97,Ninewa,Al-Shikhan,Qasrook,Mala Brwan,Mala Brwan,17868,1,35,,7,142,,,,7,142
98,Ninewa,Al-Shikhan,Qasrook,Qasrook,Qasrook City Centre,18199,,12,,,103,,0,170,0,-67
99,Ninewa,Al-Shikhan,(blank),Shikhan,Shikhan City Centre,17333,14,,,389,,,200,550,189,-550
100,Ninewa,Al-Shikhan,Zelkan,Zelkan,Zelkan City Centre,17981,4,34,,27,165,,,,27,165
101,Sulaymaniyah,Chamchamal,,,Anfalakan,24214,,60,,,148,,0,105,0,43
102,Sulaymaniyah,Darbandihkan,,,Sara,,1,,,17,,,,,17,0
103,Sulaymaniyah,Dokan,,,Banwan,23924,1,,,8,,,0,0,8,0
104,Sulaymaniyah,Dokan,,,Centre,3643,1,,,7,,,0,0,7,0
105,Sulaymaniyah,Dokan,,,Daban,,,1,,,8,,,,0,8
106,Sulaymaniyah,Kalar,,,Salih Agha,24215,,1,1,,20,20,0,308,0,-288
107,Sulaymaniyah,Pshdar,,,Ashty,,1,,,116,,,,,116,0
108,Sulaymaniyah,Sulaymaniyah,,,Chwarchra,21287,,1,,,35,,65,0,-65,35
109,Sulaymaniyah,Sulaymaniyah,,,Khak,,,7,,,47,,,,0,47
110,Sulaymaniyah,Sulaymaniyah,,,Qularaese Kon,6251,,5,,,30,,0,103,0,-73
111,Sulaymaniyah,Sulaymaniyah,,,Tasluja,5809,,1,,,14,,0,0,0,14

