"","PlaceID","id","Governroate","District.x","Sub.District","Area","Place.x","sites.Religious.Buildings","sites.Unfinished.Buildings","sites.Open.Air","families.Religious.Buildings","families.Unfinished.Buildings","families.Open.Air","dtmfam.Religious.Buildings","dtmfam.Unfinished.Buildings","diff.Religious.Buildings","diff.Unfinished.Buildings","totalsites","totalfamilies","familysite","class.totalsites","class.familysite","Governorate","District.y","Place.y","Longitude","Latitude","base2","total","Master.Families","IDPs.in.Camps.or.transit.camps","School.Building","Mosques.Holly.Shrines","Abandoned.public.buildings.under.construction","Collective.centres","Informal.settlements","Military.Camps","Unknown.or.other","private.setting","communal.setting","communal.setting10","Hosted.or.Owned.Accomodation","Rented.Accomodation","Organised.site","Improvised.site","Squatted.schools","Open.air","class.family.fixed","class.quartile"
"52",17776,84,"Ninewa","Akre","Bijil","Bijil","Bijil",NA,20,NA,NA,107,NA,25,150,-25,-43,20,107,5.35,1,1,"Ninewa","Akre","Bjil",44.01,36.72,"Disputed Territories",1326,221,0,0,0,642,0,0,0,0,684,642,642,354,330,0,642,0,0,"100-249","(870,5.42e+04]"
"53",17802,88,"Ninewa","Akre","Grdaseen","Grdaseen","Grdaseen",11,46,NA,170,180,NA,100,600,70,-420,57,350,6.14035087719298,2,1,"Ninewa","Akre","Grdasin",43.8,36.65,"Disputed Territories",4914,819,0,0,1020,1080,0,0,0,0,2814,2100,2100,1380,1434,1020,1080,0,0,"500-2000","(870,5.42e+04]"
"54",17868,97,"Ninewa","Al-Shikhan","Qasrook","Mala Brwan","Mala Brwan",1,35,NA,7,142,NA,NA,NA,7,142,36,149,4.13888888888889,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",17981,100,"Ninewa","Al-Shikhan","Zelkan","Zelkan","Zelkan City Centre",4,34,NA,27,165,NA,NA,NA,27,165,38,192,5.05263157894737,2,1,"Ninewa","Al-Shikhan","Zelkan",43.35,36.521,"Disputed Territories",1818,303,0,24,162,600,0,0,0,0,1032,786,762,762,270,162,600,24,0,"250-499","(870,5.42e+04]"
"56",18058,96,"Ninewa","Al-Shikhan","Qasrook","Kalakchi","Kalakchi",10,15,NA,96,200,NA,137,150,-41,50,25,296,11.84,1,1,"Ninewa","Al-Shikhan","Kalakchi",43.52,36.58,"Disputed Territories",6756,1126,0,900,822,2058,0,0,0,0,2976,3780,3780,2040,936,822,2058,900,0,"500-2000","(870,5.42e+04]"
"57",18199,98,"Ninewa","Al-Shikhan","Qasrook","Qasrook","Qasrook City Centre",NA,12,NA,NA,103,NA,0,170,0,-67,12,103,8.58333333333333,1,1,"Ninewa","Al-Shikhan","Qasrok",43.6,36.69,"Disputed Territories",5028,838,0,1020,600,2400,0,0,0,0,1008,4020,4020,1008,0,600,2400,1020,0,"500-2000","(870,5.42e+04]"
"58",20980,65,"Erbil","Erbil","Ankawa","Ankawa","Ainkawa (108)",NA,1,NA,NA,148,NA,0,0,0,148,1,148,148,1,4,"Erbil","Erbil","Ainkawa (108)",43.98,36.245,"KRI",1380,230,0,0,0,0,0,0,0,0,1380,0,0,780,600,0,0,0,0,"100-249","(870,5.42e+04]"
"59",21008,95,"Ninewa","Al-Shikhan","Qasrook","Chira","Chira",NA,42,NA,NA,175,NA,0,0,0,175,42,175,4.16666666666667,2,1,"Ninewa","Al-Shikhan","Chira",43.52431,36.63643,"Disputed Territories",1842,307,0,48,0,420,0,0,0,0,1374,468,420,1200,174,0,420,48,0,"250-499","(870,5.42e+04]"
"60",21186,47,"Dahuk","Zakho","City Centre","City Centre","Semalka",NA,12,NA,NA,154,NA,NA,NA,0,154,12,154,12.8333333333333,1,1,"Dahuk","Zakho","SEMALKA",42.68336,37.15148,"KRI",3666,611,0,2562,0,924,0,0,0,0,180,3486,3486,180,0,0,924,2562,0,"500-2000","(870,5.42e+04]"
"61",21187,43,"Dahuk","Zakho","City Centre","City Centre","Firqa",NA,100,NA,NA,421,NA,120,527,-120,-106,100,421,4.21,3,1,"Dahuk","Zakho","FIRQA",42.7064,37.16008,"KRI",14262,2377,0,3810,0,6924,0,0,0,0,3528,10734,10734,1608,1920,0,6924,3810,0,">2000","(870,5.42e+04]"
"62",21287,108,"Sulaymaniyah","Sulaymaniyah","","","Chwarchra",NA,1,NA,NA,35,NA,65,0,-65,35,1,35,35,1,2,"Sulaymaniyah","Sulaymaniya","Chwar Chra",45.41111,35.54604,"KRI",1356,226,192,0,258,0,0,0,0,0,906,450,450,0,906,258,192,0,0,"100-249","(870,5.42e+04]"
"63",21970,48,"Dahuk","Zakho","City Centre","City Centre","Shaabaniya",NA,10,NA,NA,150,NA,65,430,-65,-280,10,150,15,1,1,"Dahuk","Zakho","Sha'baniyah",42.68305556,37.14805556,"KRI",11502,1917,0,2058,0,4938,0,0,0,1956,2550,6996,6996,1146,1404,0,4938,2058,0,"500-2000","(870,5.42e+04]"
"64",23280,77,"Erbil","Koisnjaq",NA,"District center","Qalat",1,NA,NA,10,NA,NA,0,0,10,0,1,10,10,1,1,"Erbil","Koisnjaq","Qalat",44.6274,36.0866,"KRI",2688,448,0,0,0,0,0,0,0,0,2688,0,0,0,2688,0,0,0,0,"250-499","(870,5.42e+04]"
"65",23580,9,"Dahuk","Dahuk","City Centre","City Centre","Al-Sina'a",NA,NA,NA,NA,NA,NA,60,100,-60,-100,0,0,NA,1,NA,"Dahuk","Dahuk","Al Sina'ah",43.206801,36.911741,"KRI",1044,174,0,858,0,0,0,0,0,0,186,858,858,0,186,0,0,858,0,"100-249","(870,5.42e+04]"
"66",23710,11,"Dahuk","Dahuk","City Centre","City Centre","Bazar(main market)",1,NA,NA,14,NA,NA,50,125,-36,-125,1,14,14,1,1,"Dahuk","Dahuk","Bazaar",43.083013,37.104649,"KRI",4602,767,0,180,84,0,0,0,0,0,4338,264,264,0,4338,84,0,180,0,"500-2000","(870,5.42e+04]"
"67",23711,14,"Dahuk","Dahuk","City Centre","City Centre","Gali",NA,1,NA,NA,23,NA,100,312,-100,-289,1,23,23,1,2,"Dahuk","Dahuk","Gali Dohuk",43.125261,36.840283,"KRI",1566,261,0,444,0,150,0,0,0,0,972,594,594,372,600,0,150,444,0,"250-499","(870,5.42e+04]"
"68",23712,25,"Dahuk","Dahuk","City Centre","City Centre","Raza",NA,3,NA,NA,22,NA,0,155,0,-133,3,22,7.33333333333333,1,1,"Dahuk","Dahuk","Raza",43.152941,36.840855,"KRI",1722,287,0,402,0,132,0,0,0,0,1188,534,534,348,840,0,132,402,0,"250-499","(870,5.42e+04]"
"69",23713,79,"Erbil","Shaqlawa",NA,"Shaqlawa","Betarma",2,NA,NA,80,NA,NA,250,0,-170,0,2,80,40,1,2,"Erbil","Shaqlawa","Betarma",44.3445,36.39395,"KRI",5220,870,0,0,1500,0,0,0,0,0,3720,1500,1500,0,3720,1500,0,0,0,"500-2000","(870,5.42e+04]"
"70",23905,22,"Dahuk","Dahuk","City Centre","City Centre","Na'or",NA,NA,NA,NA,NA,NA,0,75,0,-75,0,0,NA,1,NA,"Dahuk","Dahuk","Naor",43.039551,36.859038,"KRI",750,125,0,360,0,0,0,0,0,0,390,360,360,0,390,0,0,360,0,"100-249","(252,870]"
"71",23906,18,"Dahuk","Dahuk","City Centre","City Centre","KRO",NA,NA,NA,NA,NA,NA,50,250,-50,-250,0,0,NA,1,NA,"Dahuk","Dahuk","KRO",42.951205,36.893462,"KRI",1812,302,0,228,0,0,0,0,0,0,1584,228,228,360,1224,0,0,228,0,"250-499","(870,5.42e+04]"
"72",23911,70,"Erbil","Erbil",NA,"Erbil city","Sedawa",1,NA,NA,150,NA,NA,0,0,150,0,1,150,150,1,4,"Erbil","Erbil","Sedawa",44.01873,36.18096,"KRI",1170,195,0,0,0,0,0,0,0,0,1170,0,0,0,1170,0,0,0,0,"100-249","(870,5.42e+04]"
"73",23924,103,"Sulaymaniyah","Dokan","","","Banwan",1,NA,NA,8,NA,NA,0,0,8,0,1,8,8,1,1,"Sulaymaniyah","Dokan","Banwan",44.96818,35.93503,"KRI",300,50,0,0,0,36,0,0,0,0,264,36,0,0,264,0,36,0,0,"50-99","(252,870]"
"74",24132,44,"Dahuk","Zakho","City Centre","City Centre","Gundke",NA,13,NA,NA,50,NA,50,450,-50,-400,13,50,3.84615384615385,1,1,"Dahuk","Zakho","Kundeky",42.402,37.0814,"KRI",5436,906,0,3036,300,600,0,0,0,0,1500,3936,3936,690,810,300,600,3036,0,"500-2000","(870,5.42e+04]"
"75",24159,68,"Erbil","Erbil","Kasnazan","Kasnazan","Kasnazan",2,NA,NA,475,NA,NA,0,0,475,0,2,475,237.5,1,5,"Erbil","Erbil","Terawa",44.0116,36.1961,"KRI",1500,250,0,0,0,0,660,0,0,0,840,660,660,0,840,660,0,0,0,"250-499","(870,5.42e+04]"
"76",24159,71,"Erbil","Erbil",NA,"Terawa","Terawa",2,NA,NA,300,NA,NA,NA,NA,300,0,2,300,150,1,4,"Erbil","Erbil","Terawa",44.0116,36.1961,"KRI",1500,250,0,0,0,0,660,0,0,0,840,660,660,0,840,660,0,0,0,"250-499","(870,5.42e+04]"
"77",24185,12,"Dahuk","Dahuk","City Centre","City Centre","Diyari",4,6,NA,16,120,NA,0,210,16,-90,10,136,13.6,1,1,"Dahuk","Dahuk","Diyari",42.972413,36.867469,"KRI",3600,600,0,2652,96,720,0,0,0,0,132,3468,3468,0,132,96,720,2652,0,"500-2000","(870,5.42e+04]"
"78",24187,29,"Dahuk","Dahuk","City Centre","City Centre","Zozan",NA,NA,NA,NA,NA,NA,0,60,0,-60,0,0,NA,1,NA,"Dahuk","Dahuk","Zozan",43.020061,36.845045,"KRI",780,130,0,780,0,0,0,0,0,0,0,780,780,0,0,0,0,780,0,"100-249","(252,870]"
"79",24188,24,"Dahuk","Dahuk","City Centre","City Centre","Qasara",NA,5,NA,NA,23,NA,50,240,-50,-217,5,23,4.6,1,1,"Dahuk","Dahuk","Qassara",42.993019,36.865999,"KRI",996,166,0,60,0,138,0,0,0,0,798,198,138,498,300,0,138,60,0,"100-249","(870,5.42e+04]"
"80",24195,66,"Erbil","Erbil",NA,"Erbil city","Al Qala'",1,NA,NA,300,NA,NA,0,0,300,0,1,300,300,1,5,"Erbil","Erbil","Al Qala'",44.00814,36.18914,"KRI",780,130,0,0,0,0,0,0,0,0,780,0,0,0,780,0,0,0,0,"100-249","(252,870]"
"81",24214,101,"Sulaymaniyah","Chamchamal","","","Anfalakan",NA,60,NA,NA,148,NA,0,105,0,43,60,148,2.46666666666667,2,1,"Sulaymaniyah","Chamchamal","Anfalakan",44.80858,35.51787,"KRI",3090,515,0,0,0,888,0,0,0,0,2202,888,888,0,2202,0,888,0,0,"500-2000","(870,5.42e+04]"
"82",24215,106,"Sulaymaniyah","Kalar","","","Salih Agha",NA,1,1,NA,20,20,0,308,0,-288,2,40,20,1,2,"Sulaymaniyah","Kalar","Salih Agha",45.33998,34.57406,"KRI",1950,325,0,0,0,240,0,0,0,0,1710,240,240,0,1710,0,240,0,0,"250-499","(870,5.42e+04]"
"83",24312,58,"Diyala","Khanaqin","","","Imam Abas",NA,42,NA,NA,85,NA,0,0,0,85,42,85,2.02380952380952,2,1,"Diyala","Khanaqin","Hay Imam Abas",45.38398,34.34574,"Disputed Territories",1050,175,0,0,0,0,0,0,0,0,1050,0,0,24,1026,0,0,0,0,"100-249","(870,5.42e+04]"
"84",24352,53,"Diyala","Khanaqin","","","Baharitaza",NA,33,NA,NA,120,NA,0,0,0,120,33,120,3.63636363636364,2,1,"Diyala","Khanaqin","Bahari Taza Area",45.4769,34.3025,"Disputed Territories",1800,300,0,0,0,0,0,0,0,0,1800,0,0,1800,0,0,0,0,0,"250-499","(870,5.42e+04]"
"85",24354,52,"Diyala","Khanaqin","","","Askari",NA,30,NA,NA,72,NA,0,12,0,60,30,72,2.4,2,1,"Diyala","Khanaqin","Hay Al Askari",45.34275,34.35884,"Disputed Territories",672,112,0,0,0,72,0,0,0,0,600,72,72,60,540,0,72,0,0,"100-249","(252,870]"
"86",24484,72,"Erbil","Koisnjaq",NA,"Armota","Armota",3,NA,NA,65,NA,NA,30,0,35,0,3,65,21.6666666666667,1,2,"Erbil","Koisnjaq","Armota",44.6073,36.0664,"KRI",390,65,0,0,390,0,0,0,0,0,0,390,390,0,0,390,0,0,0,"50-99","(252,870]"
"87",24577,80,"Erbil","Soran",NA,"Diana","Diana",1,NA,NA,135,NA,NA,150,10,-15,-10,1,135,135,1,4,"Erbil","Soran","Diana",44.537,36.654,"KRI",1080,180,120,60,900,0,0,0,0,0,0,1080,1020,0,0,900,120,60,0,"100-249","(870,5.42e+04]"
"88",24580,92,"Ninewa","Akre","Roviya","Roviya","Roviya",2,12,NA,100,300,NA,100,580,0,-280,14,400,28.5714285714286,1,2,"Ninewa","Akre","Roviya",43.4203,36.3727,"Disputed Territories",9600,1600,0,1596,900,3000,0,0,0,0,4104,5496,5496,2904,1200,900,3000,1596,0,"500-2000","(870,5.42e+04]"
"89",24581,90,"Ninewa","Akre","Kalak",NA,"Kalak",NA,8,NA,NA,200,NA,NA,NA,0,200,8,200,25,1,2,"Ninewa","Akre","Kalak",43.644,36.307,"Disputed Territories",5100,850,0,36,0,1800,0,0,0,0,3264,1836,1800,1764,1500,0,1800,36,0,"500-2000","(870,5.42e+04]"
"90",24581,89,"Ninewa","Akre","Kalak","Kalak","Kalak",NA,18,NA,NA,30,NA,50,400,-50,-370,18,30,1.66666666666667,1,1,"Ninewa","Akre","Kalak",43.644,36.307,"Disputed Territories",5100,850,0,36,0,1800,0,0,0,0,3264,1836,1800,1764,1500,0,1800,36,0,"500-2000","(870,5.42e+04]"
"91",24596,37,"Dahuk","Sumel","Fayida","Tanahi","Tanahi",NA,20,NA,NA,100,NA,0,450,0,-350,20,100,5,1,1,"Dahuk","Sumel","Tanahi",42.922546,36.808474,"KRI",6600,1100,0,0,1626,2754,0,0,0,0,2220,4380,4380,1518,702,1626,2754,0,0,"500-2000","(870,5.42e+04]"
"92",24597,74,"Erbil","Koisnjaq",NA,"Koysinjaq","Bazar koya",2,3,NA,25,40,NA,25,0,0,40,5,65,13,1,1,"Erbil","Koisnjaq","Bazar koya",44.6297,36.0859,"KRI",990,165,0,0,150,240,0,0,0,0,600,390,390,0,600,150,240,0,0,"100-249","(870,5.42e+04]"
"93",24599,76,"Erbil","Koisnjaq",NA,"District center","Jamiyah",3,NA,NA,210,NA,NA,210,0,0,0,3,210,70,1,3,"Erbil","Koisnjaq","Jamiyah",44.6249,36.0822,"KRI",1260,210,0,0,1260,0,0,0,0,0,0,1260,1260,0,0,1260,0,0,0,"100-249","(870,5.42e+04]"
"94",NA,40,"Dahuk","Zakho","City Centre","City Centre","Bazar(main market)",NA,8,NA,NA,105,NA,NA,NA,0,105,8,105,13.125,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",NA,15,"Dahuk","Dahuk","City Centre","City Centre","Gre Base",NA,2,NA,NA,111,NA,NA,NA,0,111,2,111,55.5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",NA,55,"Diyala","Khanaqin","","","Banmil",NA,52,NA,NA,154,NA,NA,NA,0,154,52,154,2.96153846153846,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",NA,17,"Dahuk","Dahuk","City Centre","City Centre","Kochar(Khabat)",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",NA,21,"Dahuk","Dahuk","City Centre","City Centre","Muhabad",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",NA,61,"Diyala","Khanaqin","","","Sailo",NA,NA,5,NA,NA,35,NA,NA,0,0,5,35,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",NA,62,"Diyala","Khanaqin","","","Tafraqa",NA,3,NA,NA,17,NA,NA,NA,0,17,3,17,5.66666666666667,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",NA,50,"Diyala","Khanaqin","","","Ali Murad",NA,18,NA,NA,48,NA,NA,NA,0,48,18,48,2.66666666666667,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",NA,51,"Diyala","Khanaqin","","","Ashty",NA,22,NA,NA,67,NA,NA,NA,0,67,22,67,3.04545454545455,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",NA,105,"Sulaymaniyah","Dokan","","","Daban",NA,1,NA,NA,8,NA,NA,NA,0,8,1,8,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",NA,28,"Dahuk","Dahuk","City Centre","City Centre","Zirak",2,4,NA,7,42,NA,NA,NA,7,42,6,49,8.16666666666667,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",NA,107,"Sulaymaniyah","Pshdar","","","Ashty",1,NA,NA,116,NA,NA,NA,NA,116,0,1,116,116,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",NA,56,"Diyala","Khanaqin","","","Darakutara",NA,7,NA,NA,24,NA,NA,NA,0,24,7,24,3.42857142857143,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",NA,57,"Diyala","Khanaqin","","","Halmat",NA,12,NA,NA,52,NA,NA,NA,0,52,12,52,4.33333333333333,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",NA,83,"Ninewa","Akre","Kalak","Basheryan","Basheryan",1,1,NA,60,70,NA,NA,NA,60,70,2,130,65,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",NA,91,"Ninewa","Akre","Kalak","Kawrasur","Kawrasur",NA,2,NA,NA,43,NA,NA,NA,0,43,2,43,21.5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",NA,102,"Sulaymaniyah","Darbandihkan","","","Sara",1,NA,NA,17,NA,NA,NA,NA,17,0,1,17,17,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",NA,109,"Sulaymaniyah","Sulaymaniyah","","","Khak",NA,7,NA,NA,47,NA,NA,NA,0,47,7,47,6.71428571428571,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
